user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user3,workstation4,workstation4,(v35.0),(licserver/7788,4312),start,Tue,4/14,1:05
user3,workstation4,workstation4,(v35.0),(licserver/7788,4312),start,Tue,4/14,1:05
user3,workstation4,workstation4,(v35.0),(licserver/7788,4312),start,Tue,4/14,1:05
user3,workstation4,workstation4,(v35.0),(licserver/7788,4312),start,Tue,4/14,1:05
user3,workstation4,workstation4,(v35.0),(licserver/7788,4312),start,Tue,4/14,1:05
user3,workstation4,workstation4,(v35.0),(licserver/7788,4312),start,Tue,4/14,1:05
user3,workstation4,workstation4,(v35.0),(licserver/7788,4312),start,Tue,4/14,1:05
user3,workstation4,workstation4,(v35.0),(licserver/7788,4316),start,Tue,4/14,6:04
user3,workstation4,workstation4,(v35.0),(licserver/7788,4316),start,Tue,4/14,6:04
user3,workstation4,workstation4,(v35.0),(licserver/7788,4316),start,Tue,4/14,6:04
user3,workstation4,workstation4,(v35.0),(licserver/7788,4316),start,Tue,4/14,6:04
user3,workstation4,workstation4,(v35.0),(licserver/7788,4317),start,Tue,4/14,6:35
user3,workstation4,workstation4,(v35.0),(licserver/7788,4317),start,Tue,4/14,6:35
user3,workstation4,workstation4,(v35.0),(licserver/7788,6139),start,Mon,4/13,23:19
user3,workstation4,workstation4,(v35.0),(licserver/7788,6139),start,Mon,4/13,23:19
user3,workstation4,workstation4,(v35.0),(licserver/7788,6139),start,Mon,4/13,23:19
user3,workstation4,workstation4,(v35.0),(licserver/7788,6745),start,Tue,4/14,4:02
user3,workstation4,workstation4,(v35.0),(licserver/7788,6745),start,Tue,4/14,4:02
user3,workstation4,workstation4,(v35.0),(licserver/7788,9075),start,Tue,4/14,2:55
user3,workstation4,workstation4,(v35.0),(licserver/7788,9075),start,Tue,4/14,2:55
user3,workstation4,workstation4,(v35.0),(licserver/7788,9649),start,Mon,4/13,11:05
user3,workstation4,workstation4,(v35.0),(licserver/7788,9649),start,Mon,4/13,11:05
user3,workstation4,workstation4,(v35.0),(licserver/7788,9650),start,Mon,4/13,11:17
user3,workstation4,workstation4,(v35.0),(licserver/7788,9650),start,Mon,4/13,11:17
user3,workstation5,workstation5,(v35.0),(licserver/7788,10709),start,Mon,4/13,22:41
user3,workstation5,workstation5,(v35.0),(licserver/7788,10709),start,Mon,4/13,22:41
user3,workstation5,workstation5,(v35.0),(licserver/7788,10712),start,Tue,4/14,6:39
user3,workstation5,workstation5,(v35.0),(licserver/7788,10712),start,Tue,4/14,6:39
user3,workstation5,workstation5,(v35.0),(licserver/7788,10929),start,Tue,4/14,2:17
user3,workstation5,workstation5,(v35.0),(licserver/7788,10929),start,Tue,4/14,2:17
user3,workstation5,workstation5,(v35.0),(licserver/7788,10929),start,Tue,4/14,2:17
user3,workstation5,workstation5,(v35.0),(licserver/7788,10929),start,Tue,4/14,2:17
user3,workstation5,workstation5,(v35.0),(licserver/7788,10929),start,Tue,4/14,2:17
user3,workstation5,workstation5,(v35.0),(licserver/7788,10929),start,Tue,4/14,2:17
user3,workstation5,workstation5,(v35.0),(licserver/7788,11000),start,Tue,4/14,3:14
user3,workstation5,workstation5,(v35.0),(licserver/7788,11000),start,Tue,4/14,3:14
user3,workstation5,workstation5,(v35.0),(licserver/7788,1246),start,Mon,4/13,15:48
